Zip,CD110,privatepartyexcellent,privatepartyfair,privatepartygood,privatepartyverygood,min-tradeinfair,tradeinfair,max-tradeinfair,min-tradeingood,tradeingood,max-tradeingood,min-tradeinverygood,tradeinverygood,max-tradeinverygood
94506,CA-11,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
94508,CA-01,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
94509,CA-07,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
94571,CA-03,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
94901,CA-06,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
95008,CA-16,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
95526,CA-02,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
95624,CA-05,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
80002,CO-07,17394,14894,16294,16844,12305,12655,13040,13974,14355,14735,14683,15055,15426
80003,CO-02,17394,14894,16294,16844,12305,12655,13040,13974,14355,14735,14683,15055,15426
80007,CO-06,17394,14894,16294,16844,12305,12655,13040,13974,14355,14735,14683,15055,15426
80014,CO-01,17394,14894,16294,16844,12305,12655,13040,13974,14355,14735,14683,15055,15426
80106,CO-05,17394,14894,16294,16844,12305,12655,13040,13974,14355,14735,14683,15055,15426
80428,CO-03,17394,14894,16294,16844,12305,12655,13040,13974,14355,14735,14683,15055,15426
80501,CO-04,17394,14894,16294,16844,12305,12655,13040,13974,14355,14735,14683,15055,15426
6001,CT-01,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
6001,CT-05,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
6026,CT-02,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
6401,CT-03,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
6403,CT-04,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
19701,DE-00,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
20001,DC-98,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
32008,FL-02,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
32008,FL-06,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
32009,FL-04,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
32033,FL-07,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
32043,FL-03,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
32113,FL-08,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
32114,FL-24,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
32159,FL-05,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
32422,FL-01,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
32901,FL-15,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33001,FL-18,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33004,FL-20,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33004,FL-22,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33009,FL-17,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33010,FL-21,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33014,FL-25,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33025,FL-23,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33063,FL-19,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33410,FL-16,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33510,FL-12,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33511,FL-09,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
33534,FL-11,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
