Zip,CD110,privatepartyexcellent,privatepartyfair,privatepartygood,privatepartyverygood,min-tradeinfair,tradeinfair,max-tradeinfair,min-tradeingood,tradeingood,max-tradeingood,min-tradeinverygood,tradeinverygood,max-tradeinverygood
35004,AL-06,12008,10108,11208,11558,8023,8336,8650,9344,9686,10027,9886,10236,10585
35005,AL-07,12008,10108,11208,11558,8023,8336,8650,9344,9686,10027,9886,10236,10585
35010,AL-02,12008,10108,11208,11558,8023,8336,8650,9344,9686,10027,9886,10236,10585
35010,AL-03,12008,10108,11208,11558,8023,8336,8650,9344,9686,10027,9886,10236,10585
35016,AL-04,12008,10108,11208,11558,8023,8336,8650,9344,9686,10027,9886,10236,10585
35565,AL-05,12008,10108,11208,11558,8023,8336,8650,9344,9686,10027,9886,10236,10585
36033,AL-01,12008,10108,11208,11558,8023,8336,8650,9344,9686,10027,9886,10236,10585
99501,AK-00,11901,10001,11101,11451,7945,8258,8572,9266,9608,9949,9808,10158,10507
84536,AZ-01,11897,9997,11097,11447,7941,8254,8568,9262,9604,9945,9804,10154,10503
85003,AZ-04,12017,10117,11217,11567,8029,8342,8656,9350,9692,10033,9892,10242,10591
85008,AZ-05,12017,10117,11217,11567,8029,8342,8656,9350,9692,10033,9892,10242,10591
85012,AZ-03,12017,10117,11217,11567,8029,8342,8656,9350,9692,10033,9892,10242,10591
85027,AZ-02,12017,10117,11217,11567,8029,8342,8656,9350,9692,10033,9892,10242,10591
85033,AZ-07,12017,10117,11217,11567,8029,8342,8656,9350,9692,10033,9892,10242,10591
85201,AZ-06,12017,10117,11217,11567,8029,8342,8656,9350,9692,10033,9892,10242,10591
85602,AZ-08,12017,10117,11217,11567,8029,8342,8656,9350,9692,10033,9892,10242,10591
38041,AR-01,12008,10108,11208,11558,8023,8336,8650,9344,9686,10027,9886,10236,10585
65733,AR-03,11989,10089,11189,11539,8009,8322,8636,9330,9672,10013,9872,10222,10571
71601,AR-04,12008,10108,11208,11558,8023,8336,8650,9344,9686,10027,9886,10236,10585
71909,AR-02,12008,10108,11208,11558,8023,8336,8650,9344,9686,10027,9886,10236,10585
89439,CA-04,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90001,CA-34,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90001,CA-35,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90001,CA-39,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90002,CA-37,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90004,CA-31,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90004,CA-33,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90022,CA-32,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90022,CA-38,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90024,CA-30,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90025,CA-36,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90027,CA-29,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90046,CA-28,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90265,CA-24,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90274,CA-46,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90601,CA-42,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90620,CA-40,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
90680,CA-47,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
91001,CA-26,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
91011,CA-25,11926,10026,11126,11476,7963,8276,8590,9284,9626,9967,9826,10176,10525
