Zip,CD110,privatepartyexcellent,privatepartyfair,privatepartygood,privatepartyverygood,min-tradeinfair,tradeinfair,max-tradeinfair,min-tradeingood,tradeingood,max-tradeingood,min-tradeinverygood,tradeinverygood,max-tradeinverygood
35004,AL-06,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
35005,AL-07,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
35010,AL-02,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
35010,AL-03,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
35016,AL-04,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
35565,AL-05,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
36033,AL-01,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
99501,AK-00,13069,11069,12219,12619,8961,9276,9599,10381,10726,11070,10923,11276,11628
84536,AZ-01,13064,11064,12214,12614,8958,9273,9596,10378,10723,11067,10920,11273,11625
85003,AZ-04,13195,11195,12345,12745,9053,9368,9691,10473,10818,11162,11015,11368,11720
85008,AZ-05,13195,11195,12345,12745,9053,9368,9691,10473,10818,11162,11015,11368,11720
85012,AZ-03,13195,11195,12345,12745,9053,9368,9691,10473,10818,11162,11015,11368,11720
85027,AZ-02,13195,11195,12345,12745,9053,9368,9691,10473,10818,11162,11015,11368,11720
85033,AZ-07,13195,11195,12345,12745,9053,9368,9691,10473,10818,11162,11015,11368,11720
85201,AZ-06,13195,11195,12345,12745,9053,9368,9691,10473,10818,11162,11015,11368,11720
85602,AZ-08,13195,11195,12345,12745,9053,9368,9691,10473,10818,11162,11015,11368,11720
38041,AR-01,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
65733,AR-03,13164,11164,12314,12714,9031,9346,9669,10451,10796,11140,10993,11346,11698
71601,AR-04,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
71909,AR-02,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
89439,CA-04,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90001,CA-34,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90001,CA-35,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90001,CA-39,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90002,CA-37,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90004,CA-31,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90004,CA-33,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90022,CA-32,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90022,CA-38,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90024,CA-30,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90025,CA-36,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90027,CA-29,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90046,CA-28,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90265,CA-24,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90274,CA-46,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90601,CA-42,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90620,CA-40,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
90680,CA-47,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
91001,CA-26,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
91011,CA-25,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
91040,CA-27,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
91350,CA-22,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
91710,CA-43,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
91719,CA-44,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
91719,CA-49,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
91901,CA-52,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
91902,CA-51,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
91902,CA-53,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
92007,CA-50,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
92201,CA-45,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
92220,CA-41,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
92602,CA-48,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
93001,CA-23,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
93201,CA-20,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
93201,CA-21,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
93426,CA-17,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
93601,CA-19,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
93606,CA-18,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
94002,CA-12,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
94002,CA-14,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
94022,CA-15,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
94102,CA-08,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
94501,CA-13,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
94502,CA-09,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
94506,CA-10,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
94506,CA-11,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
94508,CA-01,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
94509,CA-07,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
94571,CA-03,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
94901,CA-06,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
95008,CA-16,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
95526,CA-02,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
95624,CA-05,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
80002,CO-07,13064,11064,12214,12614,8958,9273,9596,10378,10723,11067,10920,11273,11625
80003,CO-02,13064,11064,12214,12614,8958,9273,9596,10378,10723,11067,10920,11273,11625
80007,CO-06,13064,11064,12214,12614,8958,9273,9596,10378,10723,11067,10920,11273,11625
80014,CO-01,13064,11064,12214,12614,8958,9273,9596,10378,10723,11067,10920,11273,11625
80106,CO-05,13064,11064,12214,12614,8958,9273,9596,10378,10723,11067,10920,11273,11625
80428,CO-03,13064,11064,12214,12614,8958,9273,9596,10378,10723,11067,10920,11273,11625
80501,CO-04,13064,11064,12214,12614,8958,9273,9596,10378,10723,11067,10920,11273,11625
6001,CT-01,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
6001,CT-05,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
6026,CT-02,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
6401,CT-03,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
6403,CT-04,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
19701,DE-00,12956,10956,12106,12506,8879,9194,9517,10299,10644,10988,10841,11194,11546
20001,DC-98,12956,10956,12106,12506,8879,9194,9517,10299,10644,10988,10841,11194,11546
32008,FL-02,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
32008,FL-06,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
32009,FL-04,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
32033,FL-07,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
32043,FL-03,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
32113,FL-08,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
32114,FL-24,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
32159,FL-05,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
32422,FL-01,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
32901,FL-15,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33001,FL-18,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33004,FL-20,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33004,FL-22,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33009,FL-17,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33010,FL-21,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33014,FL-25,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33025,FL-23,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33063,FL-19,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33410,FL-16,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33510,FL-12,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33511,FL-09,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33534,FL-11,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33598,FL-13,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33701,FL-10,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
33901,FL-14,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
30002,GA-04,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
30004,GA-06,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
30004,GA-09,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
30005,GA-07,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
30008,GA-11,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
30008,GA-13,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
30013,GA-08,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
30030,GA-05,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
30055,GA-10,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
30094,GA-03,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
30401,GA-12,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
30411,GA-01,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
31006,GA-02,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
96701,HI-01,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
96703,HI-02,13096,11096,12246,12646,8981,9296,9619,10401,10746,11090,10943,11296,11648
83120,ID-02,13064,11064,12214,12614,8958,9273,9596,10378,10723,11067,10920,11273,11625
83302,ID-01,13064,11064,12214,12614,8958,9273,9596,10378,10723,11067,10920,11273,11625
52761,IL-17,13164,11164,12314,12714,9031,9346,9669,10451,10796,11140,10993,11346,11698
60002,IL-08,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60004,IL-10,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60005,IL-06,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60010,IL-14,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60010,IL-16,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60016,IL-09,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60018,IL-05,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60104,IL-07,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60126,IL-03,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60126,IL-04,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60181,IL-13,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60401,IL-11,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60406,IL-01,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60406,IL-02,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
60420,IL-15,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
61314,IL-18,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
61914,IL-19,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
62002,IL-12,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
46001,IN-06,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
46030,IN-05,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
46035,IN-04,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
46041,IN-02,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
46105,IN-08,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
46107,IN-07,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
46151,IN-09,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
46303,IN-01,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
46502,IN-03,13117,11117,12267,12667,8996,9311,9634,10416,10761,11105,10958,11311,11663
50001,IA-04,13164,11164,12314,12714,9031,9346,9669,10451,10796,11140,10993,11346,11698
50002,IA-05,13164,11164,12314,12714,9031,9346,9669,10451,10796,11140,10993,11346,11698
50007,IA-03,13164,11164,12314,12714,9031,9346,9669,10451,10796,11140,10993,11346,11698
50008,IA-02,13164,11164,12314,12714,9031,9346,9669,10451,10796,11140,10993,11346,11698
50433,IA-01,13164,11164,12314,12714,9031,9346,9669,10451,10796,11140,10993,11346,11698
66002,KS-02,13164,11164,12314,12714,9031,9346,9669,10451,10796,11140,10993,11346,11698
66006,KS-03,13164,11164,12314,12714,9031,9346,9669,10451,10796,11140,10993,11346,11698
66401,KS-01,13164,11164,12314,12714,9031,9346,9669,10451,10796,11140,10993,11346,11698
66736,KS-04,13164,11164,12314,12714,9031,9346,9669,10451,10796,11140,10993,11346,11698
38079,KY-01,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
40003,KY-02,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
40003,KY-06,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
40006,KY-04,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
40023,KY-03,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
40313,KY-05,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
70001,LA-01,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
70001,LA-02,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
70030,LA-03,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
70403,LA-06,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
70501,LA-07,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
70532,LA-05,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
70633,LA-04,13185,11185,12335,12735,9046,9361,9684,10466,10811,11155,11008,11361,11713
